ISO,month,period,alertes_count
AFG,2018-12-01,201812,0
AFG,2019-01-01,201901,0
AFG,2019-02-01,201902,0
AFG,2019-03-01,201903,0
AFG,2019-04-01,201904,0
AFG,2019-05-01,201905,0
AFG,2019-06-01,201906,0
AFG,2019-07-01,201907,0
AFG,2019-08-01,201908,0
AFG,2019-09-01,201909,0
AFG,2019-10-01,201910,0
AFG,2019-11-01,201911,0
AFG,2019-12-01,201912,0
AFG,2020-01-01,202001,1
AFG,2020-02-01,202002,1
AFG,2020-03-01,202003,1
AFG,2020-04-01,202004,1
AFG,2020-05-01,202005,1
AFG,2020-06-01,202006,1
AFG,2020-07-01,202007,1
AFG,2020-08-01,202008,1
AFG,2020-09-01,202009,1
AFG,2020-10-01,202010,1
AFG,2020-11-01,202011,1
AFG,2020-12-01,202012,1
AFG,2021-01-01,202101,0
AFG,2021-02-01,202102,0
AFG,2021-03-01,202103,0
AFG,2021-04-01,202104,0
AFG,2021-05-01,202105,0
AFG,2021-06-01,202106,0
AFG,2021-07-01,202107,0
AFG,2021-08-01,202108,0
AFG,2021-09-01,202109,0
AFG,2021-10-01,202110,0
AFG,2021-11-01,202111,0
AFG,2021-12-01,202112,0
AFG,2022-01-01,202201,0
AFG,2022-02-01,202202,0
AFG,2022-03-01,202203,0
AFG,2022-04-01,202204,0
AFG,2022-05-01,202205,0
AFG,2022-06-01,202206,0
AFG,2022-07-01,202207,0
AFG,2022-08-01,202208,0
AFG,2022-09-01,202209,0
AFG,2022-10-01,202210,0
AFG,2022-11-01,202211,0
AFG,2022-12-01,202212,0
AFG,2023-01-01,202301,2
AFG,2023-02-01,202302,2
AFG,2023-03-01,202303,2
AFG,2023-04-01,202304,2
AFG,2023-05-01,202305,2
AFG,2023-06-01,202306,2
AFG,2023-07-01,202307,2
AFG,2023-08-01,202308,2
AFG,2023-09-01,202309,2
AFG,2023-10-01,202310,2
AFG,2023-11-01,202311,2
AFG,2023-12-01,202312,2
AFG,2024-01-01,202401,1
AFG,2024-02-01,202402,1
AFG,2024-03-01,202403,1
AFG,2024-04-01,202404,1
AFG,2024-05-01,202405,1
AFG,2024-06-01,202406,1
AFG,2024-07-01,202407,1
AFG,2024-08-01,202408,1
AFG,2024-09-01,202409,1
AFG,2024-10-01,202410,1
AFG,2024-11-01,202411,1
AFG,2024-12-01,202412,1
AFG,2025-01-01,202501,1
AFG,2025-02-01,202502,1
AFG,2025-03-01,202503,1
AFG,2025-04-01,202504,1
AFG,2025-05-01,202505,1
AFG,2025-06-01,202506,1
AFG,2025-07-01,202507,1
AFG,2025-08-01,202508,1
AFG,2025-09-01,202509,1
AFG,2025-10-01,202510,1
AFG,2025-11-01,202511,1
AFG,2025-12-01,202512,1
AFG,2026-01-01,202601,2
AFG,2026-02-01,202602,2
AFG,2026-03-01,202603,2
AFG,2026-04-01,202604,2
AFG,2026-05-01,202605,2
AFG,2026-06-01,202606,2
AFG,2026-07-01,202607,2
AFG,2026-08-01,202608,2
AFG,2026-09-01,202609,2
AFG,2026-10-01,202610,2
AFG,2026-11-01,202611,2
AFG,2026-12-01,202612,2
AGO,1996-01-01,199601,0
AGO,1996-02-01,199602,0
AGO,1996-03-01,199603,0
AGO,1996-04-01,199604,0
AGO,1996-05-01,199605,0
AGO,1996-06-01,199606,0
AGO,1996-07-01,199607,0
AGO,1996-08-01,199608,0
AGO,1996-09-01,199609,0
AGO,1996-10-01,199610,0
AGO,1996-11-01,199611,0
AGO,1996-12-01,199612,0
AGO,1997-01-01,199701,1
AGO,1997-02-01,199702,1
AGO,1997-03-01,199703,1
AGO,1997-04-01,199704,1
AGO,1997-05-01,199705,1
